Ind	Q1	Q2	Q3	Q4
ALL-006	9.9991e-05	0.392711	0.0296115	0.577578
LRD-03	9.9982e-05	0.908175	9.9982e-05	0.0916249
SPM-04	0.0878769	0.470171	0.0460288	0.395923
SPM-50	0.0604707	0.471732	0.0372369	0.43056
SPM-54	0.0931198	0.463349	0.0168103	0.426721
VDL-24	0.0647399	0.441065	0.0451916	0.449004
VDL-32	0.0317992	0.463313	0.0676822	0.437205
VDL-34	0.0654113	0.449552	0.120258	0.364779
VDL-52	0.0608903	0.394678	0.116201	0.42823
NL-1328	0.408611	0.130621	0.242144	0.218624
NL-1421	0.449023	0.0526308	0.415324	0.0830217
NOH-06	0.104928	0.786815	9.9991e-05	0.108157
NOH-10	0.0177656	0.89719	0.0159642	0.0690802
NOH-13	0.0722074	0.829199	0.00901212	0.0895816
NOH-15	0.030021	0.810023	9.9991e-05	0.159856
NOH-25	0.0373911	0.898676	9.9991e-05	0.0638326
NOH-28	9.9991e-05	0.889089	0.00314757	0.107663
NOH-45	0.0678269	0.749544	9.9991e-05	0.182529
OLO-01	9.9982e-05	0.93053	9.9982e-05	0.06927
RAM-177	0.0512265	0.559559	0.130658	0.258557
1-A02	0.0911323	0.721525	9.9991e-05	0.187242
1-A04	0.0578881	0.729508	9.9991e-05	0.212504
1-A08	0.053539	0.723869	9.9991e-05	0.222492
1-A09	0.0999584	0.678571	0.0323122	0.189159
1-A25	0.0286512	0.770151	9.9991e-05	0.201097
1-A26	0.0526385	0.759261	9.9991e-05	0.188001
1-J07	0.0365693	0.701764	9.9991e-05	0.261567
1-J15	0.152335	0.692169	9.9991e-05	0.155396
1-J16	0.0909892	0.641266	0.0910374	0.176707
1-J19	0.0497533	0.665222	0.115114	0.169911
1-J30	0.0521362	0.700639	0.115942	0.131283
6-A09	0.0487075	0.686822	9.9991e-05	0.26437
6-A18	0.0960717	0.68718	0.0183762	0.198372
6-A25	0.118437	0.746458	0.0334137	0.101691
6-A26	0.165485	0.558342	0.0997392	0.176434
6-A30	0.129279	0.664339	9.9991e-05	0.206282
6-J02	0.0523798	0.752431	9.9991e-05	0.195089
6-J17	0.066232	0.753066	9.9991e-05	0.180602
RAM-188	0.0755868	0.302445	0.420107	0.201862
RHN-28	0.344784	0.194831	0.351643	0.108743
ERS-17	0.403299	0.252522	0.20081	0.143369
ERS-18	0.377908	0.295835	0.23168	0.0945778
KUH-25	0.676495	0.000297516	0.256678	0.0665287
RHN-38	0.449143	0.252617	0.19336	0.104881
LOW-1	0.019969	9.99822e-05	0.979831	9.99822e-05
STR-02	0.39224	0.24873	0.244505	0.114525
STR-20	0.380553	0.274116	0.247057	0.0982743
STR-21	0.383259	0.312129	0.193941	0.110671
ALL-002	0.00956549	0.233215	0.0117675	0.745452
ALL-005	0.0357916	0.449563	0.0345348	0.48011
N-11	0.0557513	9.9982e-05	0.944049	9.9982e-05
N-12	0.0103082	9.9982e-05	0.989492	9.9982e-05
N-15	9.998e-05	9.998e-05	0.9997	9.998e-05
N-19	0.010322	9.9991e-05	0.984164	0.00541364
N-22	9.9982e-05	9.9982e-05	0.975728	0.0240722
N-23	9.99821e-05	9.99821e-05	0.948351	0.0514487
N-28	0.0196012	0.017754	0.962545	9.9991e-05
N-29	9.9991e-05	0.00414518	0.96224	0.0335147
N-35	9.9982e-05	0.0146107	0.985189	9.9982e-05
N-36	9.99821e-05	9.99821e-05	0.998132	0.00166842
N-39	0.0174772	9.9991e-05	0.970929	0.0114939
N-43	9.998e-05	9.998e-05	0.9997	9.998e-05
N-45	0.0229086	9.9982e-05	0.976891	9.9982e-05
N-46	9.998e-05	9.998e-05	0.9997	9.998e-05
N-5	9.9991e-05	0.0339898	0.938409	0.0275008
N-50	0.0550152	9.9982e-05	0.944785	9.9982e-05
N-54	9.9982e-05	0.034503	0.965297	9.9982e-05
N-56	0.00860509	9.99821e-05	0.991195	9.99821e-05
N-57	0.0183295	9.9991e-05	0.936115	0.0454556
N-59	9.9982e-05	9.9982e-05	0.988221	0.0115793
N-60	0.0407472	0.0350212	0.924132	9.9991e-05
N-61	9.998e-05	9.998e-05	0.9997	9.998e-05
N-63	0.00188506	9.9991e-05	0.941194	0.0568212
N-66	0.0205705	9.9982e-05	0.97923	9.9982e-05
N-8	9.9982e-05	9.9982e-05	0.957465	0.0423354
NL-1138	0.651112	0.0134754	0.281933	0.0534794
SN-01	0.0170722	9.9991e-05	0.970227	0.0126012
SN-11	9.99821e-05	0.00815743	0.991643	9.99821e-05
SN-12	0.014835	0.020062	0.930874	0.0342286
SN-16	9.998e-05	9.998e-05	0.9997	9.998e-05
SN-18	9.9991e-05	0.000955935	0.985217	0.0137276
SN-02	0.0440186	9.9982e-05	0.955781	9.9982e-05
SN-25	0.0323322	0.000431372	0.967136	9.9991e-05
SN-26	9.998e-05	9.998e-05	0.9997	9.998e-05
SN-33	9.9982e-05	0.0310128	0.968787	9.9982e-05
SN-04	0.0507047	9.9982e-05	0.949095	9.9982e-05
SN-40	9.998e-05	9.998e-05	0.9997	9.998e-05
SN-42	0.0183354	9.9982e-05	0.981465	9.9982e-05
SN-45	0.0089031	0.0246679	0.943416	0.0230126
SN-05	9.9982e-05	9.9982e-05	0.961062	0.0387377
SN-07	9.99821e-05	9.99821e-05	0.993663	0.00613704
ALL-008	9.9991e-05	0.302355	0.0755574	0.621988
ALL-011	0.0146415	0.342074	0.13766	0.505624
ALL-012	9.998e-05	9.998e-05	9.998e-05	0.9997
ALL-013	9.998e-05	9.998e-05	9.998e-05	0.9997
ALL-014	9.998e-05	9.998e-05	9.998e-05	0.9997
ALL-015	0.0510755	0.43892	0.0938517	0.416153
ALL-017	9.9982e-05	0.0129062	9.9982e-05	0.986894
ALL-174	0.0726105	0.410961	0.00426897	0.51216
ALL-019	9.998e-05	9.998e-05	9.998e-05	0.9997
ALL-020	0.0626653	0.341715	0.0217801	0.57384
ALL-021	9.998e-05	9.998e-05	9.998e-05	0.9997
ALL-023	0.0259501	0.430243	0.0309056	0.512901
ALL-026	0.0215268	0.268353	0.0736231	0.636497
ALL-034	0.0539968	0.322036	0.0861604	0.537806
ALL-041	0.074938	0.349805	9.9991e-05	0.575157
ALL-099	0.0648355	0.359696	0.0719461	0.503522
AST-005	0.00499445	0.875368	0.0541781	0.0654594
AST-006	9.9982e-05	0.963533	9.9982e-05	0.0362673
AST-008	0.0196302	0.87116	0.0261685	0.0830412
