Ind	Q1	Q2	Q3	Q4
SN-05	0.968542	0.0312584	9.9982e-05	9.9982e-05
SN-07	0.974288	0.0193768	9.9991e-05	0.00623534
ALL-008	0.0646737	0.609839	0.315599	0.00988836
ALL-011	0.136819	0.529514	0.333567	9.9991e-05
ALL-012	9.998e-05	0.9997	9.998e-05	9.998e-05
ALL-013	9.998e-05	0.9997	9.998e-05	9.998e-05
ALL-014	9.998e-05	0.9997	9.998e-05	9.998e-05
ALL-015	0.112778	0.434168	0.407663	0.0453913
ALL-017	9.9991e-05	0.956881	0.029463	0.0135563
ALL-174	0.00617115	0.498571	0.413638	0.0816205
ALL-019	9.998e-05	0.9997	9.998e-05	9.998e-05
ALL-020	0.0343815	0.556528	0.342786	0.0663045
ALL-021	9.998e-05	0.9997	9.998e-05	9.998e-05
ALL-023	0.0400875	0.510782	0.427014	0.0221171
ALL-026	0.0502384	0.655015	0.251374	0.0433726
ALL-034	0.0860834	0.508776	0.35123	0.0539105
ALL-041	9.9991e-05	0.56903	0.371684	0.059186
ALL-099	0.0903821	0.502712	0.358139	0.0487671
AST-005	0.0617704	0.0550324	0.87915	0.00404741
AST-006	9.9982e-05	0.0134715	0.986329	9.9982e-05
AST-008	0.0187019	0.0607128	0.888957	0.031628
